date,stock_id,type,value,origin_name,stock_name,industry
2019-03-31,1316,IncomeBeforeIncomeTax,-43124000.0,稅前淨利(淨損),上曜,建材營造
2019-03-31,1316,NetIncome,-45148000.0,本期淨利(淨損),上曜,建材營造
2019-03-31,1316,OperatingExpenses,72476000.0,營業費用,上曜,建材營造
2019-03-31,1316,TAX,1278000.0,所得稅費用（利益）,上曜,建材營造
2019-03-31,1316,IncomeLossFromDiscontinuedOperation,-746000.0,停業單位損益,上曜,建材營造
2019-03-31,1316,EPS,-0.31,基本每股盈餘（元）,上曜,建材營造
2019-03-31,1316,PreTaxIncome,-43124000.0,稅前淨利（淨損）,上曜,建材營造
2019-03-31,1316,IncomeFromContinuingOperations,-44402000.0,繼續營業單位本期淨利（淨損）,上曜,建材營造
2019-03-31,1316,IncomeAfterTaxes,-45148000.0,本期淨利（淨損）,上曜,建材營造
2019-03-31,1316,TotalConsolidatedProfitForThePeriod,-41582000.0,本期綜合損益總額,上曜,建材營造
2019-03-31,1316,Revenue,134177000.0,營業收入,上曜,建材營造
2019-03-31,1316,CostOfGoodsSold,119994000.0,營業成本,上曜,建材營造
2019-03-31,1316,GrossProfit,14183000.0,營業毛利（毛損）淨額,上曜,建材營造
2019-03-31,1316,OperatingIncome,-58293000.0,營業利益（損失）,上曜,建材營造
2019-03-31,1316,TotalNonoperatingIncomeAndExpense,15169000.0,營業外收入及支出,上曜,建材營造
2019-03-31,1316,OtherComprehensiveIncome,3566000.0,其他綜合損益（淨額）,上曜,建材營造
2019-03-31,1316,EquityAttributableToOwnersOfParent,-49878000.0,淨利（淨損）歸屬於母公司業主,上曜,建材營造
2019-03-31,1316,NoncontrollingInterests,4730000.0,淨利（淨損）歸屬於非控制權益,上曜,建材營造
2019-06-30,1316,IncomeBeforeIncomeTax,-53113000.0,稅前淨利(淨損),上曜,建材營造
2019-06-30,1316,NetIncome,-14326000.0,本期淨利(淨損),上曜,建材營造
2019-06-30,1316,OperatingExpenses,70001000.0,營業費用,上曜,建材營造
2019-06-30,1316,TAX,7227000.0,所得稅費用（利益）,上曜,建材營造
2019-06-30,1316,IncomeLossFromDiscontinuedOperation,46014000.0,停業單位損益,上曜,建材營造
2019-06-30,1316,EPS,-0.22,基本每股盈餘（元）,上曜,建材營造
2019-06-30,1316,PreTaxIncome,-53113000.0,稅前淨利（淨損）,上曜,建材營造
2019-06-30,1316,IncomeFromContinuingOperations,-60340000.0,繼續營業單位本期淨利（淨損）,上曜,建材營造
2019-06-30,1316,IncomeAfterTaxes,-14326000.0,本期淨利（淨損）,上曜,建材營造
2019-06-30,1316,TotalConsolidatedProfitForThePeriod,-12984000.0,本期綜合損益總額,上曜,建材營造
2019-06-30,1316,Revenue,134114000.0,營業收入,上曜,建材營造
2019-06-30,1316,CostOfGoodsSold,117812000.0,營業成本,上曜,建材營造
2019-06-30,1316,GrossProfit,16302000.0,營業毛利（毛損）淨額,上曜,建材營造
2019-06-30,1316,OperatingIncome,-53699000.0,營業利益（損失）,上曜,建材營造
2019-06-30,1316,TotalNonoperatingIncomeAndExpense,586000.0,營業外收入及支出,上曜,建材營造
2019-06-30,1316,OtherComprehensiveIncome,1342000.0,其他綜合損益（淨額）,上曜,建材營造
2019-06-30,1316,EquityAttributableToOwnersOfParent,-36346000.0,淨利（淨損）歸屬於母公司業主,上曜,建材營造
2019-06-30,1316,NoncontrollingInterests,22020000.0,淨利（淨損）歸屬於非控制權益,上曜,建材營造
2019-09-30,1316,IncomeBeforeIncomeTax,-1026000.0,稅前淨利(淨損),上曜,建材營造
