date,stock_id,type,value,origin_name,stock_name,industry
2019-03-31,1109,IncomeBeforeIncomeTax,280274000.0,稅前淨利(淨損),信大,水泥工業
2019-03-31,1109,NetIncome,202592000.0,本期淨利(淨損),信大,水泥工業
2019-03-31,1109,OperatingExpenses,104934000.0,營業費用,信大,水泥工業
2019-03-31,1109,TAX,77682000.0,所得稅費用（利益）,信大,水泥工業
2019-03-31,1109,EPS,0.37,基本每股盈餘（元）,信大,水泥工業
2019-03-31,1109,PreTaxIncome,280274000.0,稅前淨利（淨損）,信大,水泥工業
2019-03-31,1109,IncomeFromContinuingOperations,202592000.0,繼續營業單位本期淨利（淨損）,信大,水泥工業
2019-03-31,1109,IncomeAfterTaxes,202592000.0,本期淨利（淨損）,信大,水泥工業
2019-03-31,1109,TotalConsolidatedProfitForThePeriod,296643000.0,本期綜合損益總額,信大,水泥工業
2019-03-31,1109,Revenue,1360434000.0,營業收入,信大,水泥工業
2019-03-31,1109,CostOfGoodsSold,971109000.0,營業成本,信大,水泥工業
2019-03-31,1109,UnrealizedGain,0.0,未實現銷貨（損）益,信大,水泥工業
2019-03-31,1109,RealizedGain,0.0,已實現銷貨（損）益,信大,水泥工業
2019-03-31,1109,GrossProfit,389325000.0,營業毛利（毛損）淨額,信大,水泥工業
2019-03-31,1109,OperatingIncome,284391000.0,營業利益（損失）,信大,水泥工業
2019-03-31,1109,TotalNonoperatingIncomeAndExpense,-4117000.0,營業外收入及支出,信大,水泥工業
2019-03-31,1109,OtherComprehensiveIncome,94051000.0,其他綜合損益（淨額）,信大,水泥工業
2019-03-31,1109,EquityAttributableToOwnersOfParent,128050000.0,淨利（淨損）歸屬於母公司業主,信大,水泥工業
2019-03-31,1109,NoncontrollingInterests,74542000.0,淨利（淨損）歸屬於非控制權益,信大,水泥工業
2019-06-30,1109,IncomeBeforeIncomeTax,643223000.0,稅前淨利(淨損),信大,水泥工業
2019-06-30,1109,NetIncome,378539000.0,本期淨利(淨損),信大,水泥工業
2019-06-30,1109,OperatingExpenses,118086000.0,營業費用,信大,水泥工業
2019-06-30,1109,TAX,264684000.0,所得稅費用（利益）,信大,水泥工業
2019-06-30,1109,EPS,0.67,基本每股盈餘（元）,信大,水泥工業
2019-06-30,1109,PreTaxIncome,643223000.0,稅前淨利（淨損）,信大,水泥工業
2019-06-30,1109,IncomeFromContinuingOperations,378539000.0,繼續營業單位本期淨利（淨損）,信大,水泥工業
