date,stock_id,type,value,origin_name,stock_name,industry
2019-03-31,6505,IncomeBeforeIncomeTax,11500900000.0,稅前淨利(淨損),台塑化,油電燃氣業
2019-03-31,6505,NetIncome,9217990000.0,本期淨利(淨損),台塑化,油電燃氣業
2019-03-31,6505,OperatingExpenses,2582351000.0,營業費用,台塑化,油電燃氣業
2019-03-31,6505,TAX,2282936000.0,所得稅費用（利益）,台塑化,油電燃氣業
2019-03-31,6505,EPS,0.97,基本每股盈餘（元）,台塑化,油電燃氣業
2019-03-31,6505,PreTaxIncome,11500924000.0,稅前淨利（淨損）,台塑化,油電燃氣業
2019-03-31,6505,IncomeFromContinuingOperations,9217988000.0,繼續營業單位本期淨利（淨損）,台塑化,油電燃氣業
2019-03-31,6505,IncomeAfterTaxes,9217988000.0,本期淨利（淨損）,台塑化,油電燃氣業
2019-03-31,6505,TotalConsolidatedProfitForThePeriod,14969371000.0,本期綜合損益總額,台塑化,油電燃氣業
2019-03-31,6505,Revenue,169116633000.0,營業收入,台塑化,油電燃氣業
2019-03-31,6505,CostOfGoodsSold,156015236000.0,營業成本,台塑化,油電燃氣業
2019-03-31,6505,GrossProfit,13101397000.0,營業毛利（毛損）淨額,台塑化,油電燃氣業
2019-03-31,6505,OperatingIncome,10519046000.0,營業利益（損失）,台塑化,油電燃氣業
2019-03-31,6505,TotalNonoperatingIncomeAndExpense,981878000.0,營業外收入及支出,台塑化,油電燃氣業
2019-03-31,6505,OtherComprehensiveIncome,5751383000.0,其他綜合損益（淨額）,台塑化,油電燃氣業
2019-03-31,6505,EquityAttributableToOwnersOfParent,9226048000.0,淨利（淨損）歸屬於母公司業主,台塑化,油電燃氣業
2019-03-31,6505,NoncontrollingInterests,-8060000.0,淨利（淨損）歸屬於非控制權益,台塑化,油電燃氣業
2019-06-30,6505,IncomeBeforeIncomeTax,10326600000.0,稅前淨利(淨損),台塑化,油電燃氣業
2019-06-30,6505,NetIncome,8006480000.0,本期淨利(淨損),台塑化,油電燃氣業
2019-06-30,6505,OperatingExpenses,2770410000.0,營業費用,台塑化,油電燃氣業
2019-06-30,6505,TAX,2320098000.0,所得稅費用（利益）,台塑化,油電燃氣業
2019-06-30,6505,EPS,0.84,基本每股盈餘（元）,台塑化,油電燃氣業
2019-06-30,6505,PreTaxIncome,10326583000.0,稅前淨利（淨損）,台塑化,油電燃氣業
2019-06-30,6505,IncomeFromContinuingOperations,8006485000.0,繼續營業單位本期淨利（淨損）,台塑化,油電燃氣業
2019-06-30,6505,IncomeAfterTaxes,8006485000.0,本期淨利（淨損）,台塑化,油電燃氣業
2019-06-30,6505,TotalConsolidatedProfitForThePeriod,7977323000.0,本期綜合損益總額,台塑化,油電燃氣業
2019-06-30,6505,Revenue,166123211000.0,營業收入,台塑化,油電燃氣業
2019-06-30,6505,CostOfGoodsSold,154930503000.0,營業成本,台塑化,油電燃氣業
2019-06-30,6505,GrossProfit,11192708000.0,營業毛利（毛損）淨額,台塑化,油電燃氣業
2019-06-30,6505,OperatingIncome,8422298000.0,營業利益（損失）,台塑化,油電燃氣業
2019-06-30,6505,TotalNonoperatingIncomeAndExpense,1904285000.0,營業外收入及支出,台塑化,油電燃氣業
2019-06-30,6505,OtherComprehensiveIncome,-29162000.0,其他綜合損益（淨額）,台塑化,油電燃氣業
2019-06-30,6505,EquityAttributableToOwnersOfParent,8025343000.0,淨利（淨損）歸屬於母公司業主,台塑化,油電燃氣業
2019-06-30,6505,NoncontrollingInterests,-18858000.0,淨利（淨損）歸屬於非控制權益,台塑化,油電燃氣業
2019-09-30,6505,IncomeBeforeIncomeTax,14351100000.0,稅前淨利(淨損),台塑化,油電燃氣業
2019-09-30,6505,NetIncome,12427200000.0,本期淨利(淨損),台塑化,油電燃氣業
2019-09-30,6505,OperatingExpenses,2663981000.0,營業費用,台塑化,油電燃氣業
2019-09-30,6505,TAX,1923908000.0,所得稅費用（利益）,台塑化,油電燃氣業
2019-09-30,6505,EPS,1.31,基本每股盈餘（元）,台塑化,油電燃氣業
2019-09-30,6505,PreTaxIncome,14351074000.0,稅前淨利（淨損）,台塑化,油電燃氣業
2019-09-30,6505,IncomeFromContinuingOperations,12427166000.0,繼續營業單位本期淨利（淨損）,台塑化,油電燃氣業
2019-09-30,6505,IncomeAfterTaxes,12427166000.0,本期淨利（淨損）,台塑化,油電燃氣業
2019-09-30,6505,TotalConsolidatedProfitForThePeriod,9933076000.0,本期綜合損益總額,台塑化,油電燃氣業
2019-09-30,6505,Revenue,160011988000.0,營業收入,台塑化,油電燃氣業
2019-09-30,6505,CostOfGoodsSold,148399243000.0,營業成本,台塑化,油電燃氣業
2019-09-30,6505,GrossProfit,11612745000.0,營業毛利（毛損）淨額,台塑化,油電燃氣業
2019-09-30,6505,OperatingIncome,8948764000.0,營業利益（損失）,台塑化,油電燃氣業
2019-09-30,6505,TotalNonoperatingIncomeAndExpense,5402310000.0,營業外收入及支出,台塑化,油電燃氣業
2019-09-30,6505,OtherComprehensiveIncome,-2494090000.0,其他綜合損益（淨額）,台塑化,油電燃氣業
2019-09-30,6505,EquityAttributableToOwnersOfParent,12443538000.0,淨利（淨損）歸屬於母公司業主,台塑化,油電燃氣業
2019-09-30,6505,NoncontrollingInterests,-16372000.0,淨利（淨損）歸屬於非控制權益,台塑化,油電燃氣業
2019-12-31,6505,IncomeBeforeIncomeTax,8719770000.0,稅前淨利(淨損),台塑化,油電燃氣業
2019-12-31,6505,NetIncome,7096530000.0,本期淨利(淨損),台塑化,油電燃氣業
2019-12-31,6505,OperatingExpenses,2916613000.0,營業費用,台塑化,油電燃氣業
2019-12-31,6505,TAX,1623236000.0,所得稅費用（利益）,台塑化,油電燃氣業
2019-12-31,6505,EPS,0.74,基本每股盈餘（元）,台塑化,油電燃氣業
2019-12-31,6505,PreTaxIncome,8719770000.0,稅前淨利（淨損）,台塑化,油電燃氣業
2019-12-31,6505,IncomeFromContinuingOperations,7096534000.0,繼續營業單位本期淨利（淨損）,台塑化,油電燃氣業
2019-12-31,6505,IncomeAfterTaxes,7096534000.0,本期淨利（淨損）,台塑化,油電燃氣業
