date,stock_id,type,value,origin_name,stock_name,industry
2019-03-31,1802,IncomeBeforeIncomeTax,-308154000.0,稅前淨利(淨損),台玻,玻璃陶瓷
2019-03-31,1802,NetIncome,-349113000.0,本期淨利(淨損),台玻,玻璃陶瓷
2019-03-31,1802,OperatingExpenses,1172417000.0,營業費用,台玻,玻璃陶瓷
2019-03-31,1802,TAX,40959000.0,所得稅費用（利益）,台玻,玻璃陶瓷
2019-03-31,1802,EPS,-0.1,基本每股盈餘（元）,台玻,玻璃陶瓷
2019-03-31,1802,PreTaxIncome,-308154000.0,稅前淨利（淨損）,台玻,玻璃陶瓷
2019-03-31,1802,IncomeFromContinuingOperations,-349113000.0,繼續營業單位本期淨利（淨損）,台玻,玻璃陶瓷
2019-03-31,1802,IncomeAfterTaxes,-349113000.0,本期淨利（淨損）,台玻,玻璃陶瓷
2019-03-31,1802,TotalConsolidatedProfitForThePeriod,732335000.0,本期綜合損益總額,台玻,玻璃陶瓷
2019-03-31,1802,Revenue,8878501000.0,營業收入,台玻,玻璃陶瓷
2019-03-31,1802,CostOfGoodsSold,8138860000.0,營業成本,台玻,玻璃陶瓷
2019-03-31,1802,GrossProfit,739641000.0,營業毛利（毛損）淨額,台玻,玻璃陶瓷
2019-03-31,1802,OTHNOE,-1547000.0,其他收益及費損淨額,台玻,玻璃陶瓷
2019-03-31,1802,OperatingIncome,-434323000.0,營業利益（損失）,台玻,玻璃陶瓷
2019-03-31,1802,TotalNonoperatingIncomeAndExpense,126169000.0,營業外收入及支出,台玻,玻璃陶瓷
2019-03-31,1802,OtherComprehensiveIncome,1081448000.0,其他綜合損益（淨額）,台玻,玻璃陶瓷
2019-03-31,1802,EquityAttributableToOwnersOfParent,-293659000.0,淨利（淨損）歸屬於母公司業主,台玻,玻璃陶瓷
2019-03-31,1802,NoncontrollingInterests,-55454000.0,淨利（淨損）歸屬於非控制權益,台玻,玻璃陶瓷
2019-06-30,1802,IncomeBeforeIncomeTax,-815060000.0,稅前淨利(淨損),台玻,玻璃陶瓷
2019-06-30,1802,NetIncome,-820871000.0,本期淨利(淨損),台玻,玻璃陶瓷
2019-06-30,1802,OperatingExpenses,1131607000.0,營業費用,台玻,玻璃陶瓷
2019-06-30,1802,TAX,5811000.0,所得稅費用（利益）,台玻,玻璃陶瓷
2019-06-30,1802,EPS,-0.26,基本每股盈餘（元）,台玻,玻璃陶瓷
2019-06-30,1802,PreTaxIncome,-815060000.0,稅前淨利（淨損）,台玻,玻璃陶瓷
2019-06-30,1802,IncomeFromContinuingOperations,-820871000.0,繼續營業單位本期淨利（淨損）,台玻,玻璃陶瓷
2019-06-30,1802,IncomeAfterTaxes,-820871000.0,本期淨利（淨損）,台玻,玻璃陶瓷
