date,stock_id,type,value,origin_name,stock_name,industry
2019-03-31,4152,EPS,-1.76,基本每股盈餘（元）,台微體,生技醫療業
2019-03-31,4152,EquityAttributableToOwnersOfParent,-111143000.0,綜合損益總額歸屬於母公司業主,台微體,生技醫療業
2019-03-31,4152,GrossProfit,157765000.0,營業毛利（毛損）淨額,台微體,生技醫療業
2019-03-31,4152,IncomeAfterTaxes,-111685000.0,本期淨利（淨損）,台微體,生技醫療業
2019-03-31,4152,IncomeBeforeIncomeTax,-111408000.0,稅前淨利(淨損),台微體,生技醫療業
2019-03-31,4152,IncomeFromContinuingOperations,-111685000.0,繼續營業單位本期淨利（淨損）,台微體,生技醫療業
2019-03-31,4152,NetIncome,-111685000.0,本期淨利(淨損),台微體,生技醫療業
2019-03-31,4152,OperatingExpenses,269932000.0,營業費用,台微體,生技醫療業
2019-03-31,4152,OperatingIncome,-112167000.0,營業利益（損失）,台微體,生技醫療業
2019-03-31,4152,OtherComprehensiveIncome,542000.0,其他綜合損益（淨額）,台微體,生技醫療業
2019-03-31,4152,PreTaxIncome,-111408000.0,稅前淨利（淨損）,台微體,生技醫療業
2019-03-31,4152,Revenue,157765000.0,營業收入,台微體,生技醫療業
2019-03-31,4152,TAX,277000.0,所得稅費用（利益）,台微體,生技醫療業
2019-03-31,4152,TotalConsolidatedProfitForThePeriod,-111143000.0,本期綜合損益總額,台微體,生技醫療業
2019-03-31,4152,TotalNonoperatingIncomeAndExpense,759000.0,營業外收入及支出,台微體,生技醫療業
2019-06-30,4152,EPS,-3.79,基本每股盈餘（元）,台微體,生技醫療業
2019-06-30,4152,EquityAttributableToOwnersOfParent,-241102000.0,綜合損益總額歸屬於母公司業主,台微體,生技醫療業
2019-06-30,4152,GrossProfit,20592000.0,營業毛利（毛損）淨額,台微體,生技醫療業
2019-06-30,4152,IncomeAfterTaxes,-241476000.0,本期淨利（淨損）,台微體,生技醫療業
2019-06-30,4152,IncomeBeforeIncomeTax,-240622000.0,稅前淨利(淨損),台微體,生技醫療業
2019-06-30,4152,IncomeFromContinuingOperations,-241476000.0,繼續營業單位本期淨利（淨損）,台微體,生技醫療業
