date,stock_id,type,value,origin_name,stock_name,industry
2022-12-31,6952,OperatingExpenses,157934000.0,營業費用,大武山,農業科技
2022-12-31,6952,TAX,38477000.0,所得稅費用（利益）,大武山,農業科技
2022-12-31,6952,EPS,2.91,基本每股盈餘（元）,大武山,農業科技
2022-12-31,6952,PreTaxIncome,194392000.0,稅前淨利（淨損）,大武山,農業科技
2022-12-31,6952,IncomeFromContinuingOperations,155915000.0,繼續營業單位本期淨利（淨損）,大武山,農業科技
2022-12-31,6952,IncomeAfterTaxes,155915000.0,本期淨利（淨損）,大武山,農業科技
2022-12-31,6952,TotalConsolidatedProfitForThePeriod,155915000.0,本期綜合損益總額,大武山,農業科技
2022-12-31,6952,Revenue,1191880000.0,營業收入,大武山,農業科技
2022-12-31,6952,CostOfGoodsSold,984797000.0,營業成本,大武山,農業科技
2022-12-31,6952,GainsOnInitialRecognitionOfBiologicalAssetsForCurrentPeriod,134327000.0,原始認列生物資產及農產品之利益（損失）,大武山,農業科技
2022-12-31,6952,OperatingIncome,183476000.0,營業利益（損失）,大武山,農業科技
2022-12-31,6952,TotalNonoperatingIncomeAndExpense,10916000.0,營業外收入及支出,大武山,農業科技
2022-12-31,6952,EquityAttributableToOwnersOfParent,159969000.0,淨利（淨損）歸屬於母公司業主,大武山,農業科技
2022-12-31,6952,NoncontrollingInterests,-4054000.0,淨利（淨損）歸屬於非控制權益,大武山,農業科技
2022-12-31,6952,GrossProfit,341410000.0,營業毛利（毛損）,大武山,農業科技
2022-12-31,6952,ComprehensiveIncomeConsolidatedNetIncomeAttributedNonControllingInterest,-4054000.0,綜合損益總額歸屬於非控制權益,大武山,農業科技
2023-06-30,6952,OperatingExpenses,66859000.0,營業費用,大武山,農業科技
2023-06-30,6952,TAX,10218000.0,所得稅費用（利益）,大武山,農業科技
2023-06-30,6952,EPS,-0.3,基本每股盈餘（元）,大武山,農業科技
2023-06-30,6952,PreTaxIncome,-6328000.0,稅前淨利（淨損）,大武山,農業科技
2023-06-30,6952,IncomeFromContinuingOperations,-16546000.0,繼續營業單位本期淨利（淨損）,大武山,農業科技
2023-06-30,6952,IncomeAfterTaxes,-16546000.0,本期淨利（淨損）,大武山,農業科技
2023-06-30,6952,TotalConsolidatedProfitForThePeriod,-16546000.0,本期綜合損益總額,大武山,農業科技
2023-06-30,6952,Revenue,468001000.0,營業收入,大武山,農業科技
2023-06-30,6952,CostOfGoodsSold,397840000.0,營業成本,大武山,農業科技
