date,stock_id,type,value,origin_name,report,stock_name,industry
2019-03-31,6508,IncomeBeforeIncomeTax,91197000.0,稅前淨利(淨損),IncomeStatement,惠光,農業科技業
2019-03-31,6508,NetIncome,67272000.0,本期淨利(淨損),IncomeStatement,惠光,農業科技業
2019-03-31,6508,PreTaxIncome,91197000.0,稅前淨利（淨損）,IncomeStatement,惠光,農業科技業
2019-03-31,6508,TAX,23925000.0,所得稅費用（利益）,IncomeStatement,惠光,農業科技業
2019-03-31,6508,IncomeFromContinuingOperations,67272000.0,繼續營業單位本期淨利（淨損）,IncomeStatement,惠光,農業科技業
2019-03-31,6508,IncomeAfterTaxes,67272000.0,本期淨利（淨損）,IncomeStatement,惠光,農業科技業
2019-03-31,6508,TotalConsolidatedProfitForThePeriod,82086000.0,本期綜合損益總額,IncomeStatement,惠光,農業科技業
2019-03-31,6508,EPS,0.8,基本每股盈餘（元）,IncomeStatement,惠光,農業科技業
2019-03-31,6508,Revenue,594711000.0,營業收入,IncomeStatement,惠光,農業科技業
2019-03-31,6508,CostOfGoodsSold,428719000.0,營業成本,IncomeStatement,惠光,農業科技業
2019-03-31,6508,GrossProfit,165992000.0,營業毛利（毛損）淨額,IncomeStatement,惠光,農業科技業
2019-03-31,6508,OperatingExpenses,79727000.0,營業費用,IncomeStatement,惠光,農業科技業
2019-03-31,6508,OTHNOE,1093000.0,其他收益及費損淨額,BalanceSheet,惠光,農業科技業
2019-03-31,6508,OperatingIncome,87358000.0,營業利益（損失）,IncomeStatement,惠光,農業科技業
2019-03-31,6508,TotalNonoperatingIncomeAndExpense,3839000.0,營業外收入及支出,IncomeStatement,惠光,農業科技業
2019-03-31,6508,OtherComprehensiveIncome,14814000.0,其他綜合損益（淨額）,IncomeStatement,惠光,農業科技業
2019-03-31,6508,EquityAttributableToOwnersOfParent,67272000.0,淨利（淨損）歸屬於母公司業主,IncomeStatement,惠光,農業科技業
2019-06-30,6508,IncomeBeforeIncomeTax,107220000.0,稅前淨利(淨損),IncomeStatement,惠光,農業科技業
2019-06-30,6508,NetIncome,79374000.0,本期淨利(淨損),IncomeStatement,惠光,農業科技業
2019-06-30,6508,PreTaxIncome,107220000.0,稅前淨利（淨損）,IncomeStatement,惠光,農業科技業
2019-06-30,6508,TAX,27846000.0,所得稅費用（利益）,IncomeStatement,惠光,農業科技業
2019-06-30,6508,IncomeFromContinuingOperations,79374000.0,繼續營業單位本期淨利（淨損）,IncomeStatement,惠光,農業科技業
2019-06-30,6508,IncomeAfterTaxes,79374000.0,本期淨利（淨損）,IncomeStatement,惠光,農業科技業
2019-06-30,6508,TotalConsolidatedProfitForThePeriod,77819000.0,本期綜合損益總額,IncomeStatement,惠光,農業科技業
2019-06-30,6508,EPS,0.93,基本每股盈餘（元）,IncomeStatement,惠光,農業科技業
2019-06-30,6508,Revenue,621608000.0,營業收入,IncomeStatement,惠光,農業科技業
2019-06-30,6508,CostOfGoodsSold,437776000.0,營業成本,IncomeStatement,惠光,農業科技業
2019-06-30,6508,GrossProfit,183832000.0,營業毛利（毛損）淨額,IncomeStatement,惠光,農業科技業
2019-06-30,6508,OperatingExpenses,87148000.0,營業費用,IncomeStatement,惠光,農業科技業
2019-06-30,6508,OTHNOE,1093000.0,其他收益及費損淨額,BalanceSheet,惠光,農業科技業
2019-06-30,6508,OperatingIncome,97777000.0,營業利益（損失）,IncomeStatement,惠光,農業科技業
2019-06-30,6508,TotalNonoperatingIncomeAndExpense,9443000.0,營業外收入及支出,IncomeStatement,惠光,農業科技業
2019-06-30,6508,OtherComprehensiveIncome,-1555000.0,其他綜合損益（淨額）,IncomeStatement,惠光,農業科技業
2019-06-30,6508,EquityAttributableToOwnersOfParent,79374000.0,淨利（淨損）歸屬於母公司業主,IncomeStatement,惠光,農業科技業
2019-09-30,6508,IncomeBeforeIncomeTax,77309000.0,稅前淨利(淨損),IncomeStatement,惠光,農業科技業
2019-09-30,6508,NetIncome,59086000.0,本期淨利(淨損),IncomeStatement,惠光,農業科技業
2019-09-30,6508,PreTaxIncome,77309000.0,稅前淨利（淨損）,IncomeStatement,惠光,農業科技業
2019-09-30,6508,TAX,18223000.0,所得稅費用（利益）,IncomeStatement,惠光,農業科技業
