date,stock_id,type,value,origin_name,stock_name,industry
2019-03-31,1902,AccountsPayable,329929000.0,應付帳款,台紙,造紙工業
2019-03-31,1902,AccountsPayable_per,3.51,應付帳款,台紙,造紙工業
2019-03-31,1902,AccountsPayableToRelatedParties,162220000.0,應付帳款－關係人,台紙,造紙工業
2019-03-31,1902,AccountsPayableToRelatedParties_per,1.72,應付帳款－關係人,台紙,造紙工業
2019-03-31,1902,AccountsReceivableNet,722591000.0,應收帳款淨額,台紙,造紙工業
2019-03-31,1902,AccountsReceivableNet_per,7.68,應收帳款淨額,台紙,造紙工業
2019-03-31,1902,CapitalStock,4020010000.0,股本合計,台紙,造紙工業
2019-03-31,1902,CapitalStock_per,42.71,股本合計,台紙,造紙工業
2019-03-31,1902,CapitalSurplus,1123550000.0,資本公積合計,台紙,造紙工業
2019-03-31,1902,CapitalSurplus_per,11.94,資本公積合計,台紙,造紙工業
2019-03-31,1902,CapitalSurplusAdditionalPaidInCapital,958762000.0,資本公積－發行溢價,台紙,造紙工業
2019-03-31,1902,CapitalSurplusAdditionalPaidInCapital_per,10.19,資本公積－發行溢價,台紙,造紙工業
2019-03-31,1902,CashAndCashEquivalents,582049000.0,現金及約當現金,台紙,造紙工業
2019-03-31,1902,CashAndCashEquivalents_per,6.18,現金及約當現金,台紙,造紙工業
2019-03-31,1902,CurrentAssets,3635590000.0,流動資產合計,台紙,造紙工業
2019-03-31,1902,CurrentAssets_per,38.63,流動資產合計,台紙,造紙工業
2019-03-31,1902,CurrentFinancialAssetsAtFairvalueThroughProfitOrLoss,247716000.0,透過損益按公允價值衡量之金融資產－流動,台紙,造紙工業
2019-03-31,1902,CurrentFinancialAssetsAtFairvalueThroughProfitOrLoss_per,2.63,透過損益按公允價值衡量之金融資產－流動,台紙,造紙工業
2019-03-31,1902,CurrentIncomeTaxAssets,32000.0,本期所得稅資產,台紙,造紙工業
2019-03-31,1902,CurrentIncomeTaxAssets_per,0.0,本期所得稅資產,台紙,造紙工業
2019-03-31,1902,CurrentLiabilities,1186580000.0,流動負債合計,台紙,造紙工業
2019-03-31,1902,CurrentLiabilities_per,12.61,流動負債合計,台紙,造紙工業
2019-03-31,1902,DeferredTaxAssets,384124000.0,遞延所得稅資產,台紙,造紙工業
2019-03-31,1902,DeferredTaxAssets_per,4.08,遞延所得稅資產,台紙,造紙工業
2019-03-31,1902,Equity,6833860000.0,權益總額,台紙,造紙工業
2019-03-31,1902,Equity_per,72.61,權益總額,台紙,造紙工業
2019-03-31,1902,EquityAttributableToOwnersOfParent,6234530000.0,歸屬於母公司業主之權益合計,台紙,造紙工業
