date,stock_id,type,value,origin_name,stock_name,industry
2019-03-31,8420,IncomeBeforeIncomeTax,32865000.0,稅前淨利(淨損),明揚,運動休閒類
2019-03-31,8420,NetIncome,29495000.0,本期淨利(淨損),明揚,運動休閒類
2019-03-31,8420,PreTaxIncome,32865000.0,稅前淨利（淨損）,明揚,運動休閒類
2019-03-31,8420,TAX,3370000.0,所得稅費用（利益）,明揚,運動休閒類
2019-03-31,8420,IncomeFromContinuingOperations,29495000.0,繼續營業單位本期淨利（淨損）,明揚,運動休閒類
2019-03-31,8420,IncomeAfterTaxes,29495000.0,本期淨利（淨損）,明揚,運動休閒類
2019-03-31,8420,TotalConsolidatedProfitForThePeriod,29495000.0,本期綜合損益總額,明揚,運動休閒類
2019-03-31,8420,EPS,0.58,基本每股盈餘（元）,明揚,運動休閒類
2019-03-31,8420,Revenue,417851000.0,營業收入,明揚,運動休閒類
2019-03-31,8420,CostOfGoodsSold,362559000.0,營業成本,明揚,運動休閒類
2019-03-31,8420,GrossProfit,55292000.0,營業毛利（毛損）淨額,明揚,運動休閒類
2019-03-31,8420,OperatingExpenses,28888000.0,營業費用,明揚,運動休閒類
2019-03-31,8420,OTHNOE,5168000.0,其他收益及費損淨額,明揚,運動休閒類
2019-03-31,8420,OperatingIncome,31572000.0,營業利益（損失）,明揚,運動休閒類
2019-03-31,8420,TotalNonoperatingIncomeAndExpense,1293000.0,營業外收入及支出,明揚,運動休閒類
2019-06-30,8420,IncomeBeforeIncomeTax,52034000.0,稅前淨利(淨損),明揚,運動休閒類
2019-06-30,8420,NetIncome,38723000.0,本期淨利(淨損),明揚,運動休閒類
2019-06-30,8420,PreTaxIncome,52034000.0,稅前淨利（淨損）,明揚,運動休閒類
2019-06-30,8420,TAX,13311000.0,所得稅費用（利益）,明揚,運動休閒類
2019-06-30,8420,IncomeFromContinuingOperations,38723000.0,繼續營業單位本期淨利（淨損）,明揚,運動休閒類
2019-06-30,8420,IncomeAfterTaxes,38723000.0,本期淨利（淨損）,明揚,運動休閒類
2019-06-30,8420,TotalConsolidatedProfitForThePeriod,38723000.0,本期綜合損益總額,明揚,運動休閒類
2019-06-30,8420,EPS,0.76,基本每股盈餘（元）,明揚,運動休閒類
2019-06-30,8420,Revenue,458768000.0,營業收入,明揚,運動休閒類
2019-06-30,8420,CostOfGoodsSold,383536000.0,營業成本,明揚,運動休閒類
2019-06-30,8420,GrossProfit,75232000.0,營業毛利（毛損）淨額,明揚,運動休閒類
2019-06-30,8420,OperatingExpenses,26685000.0,營業費用,明揚,運動休閒類
2019-06-30,8420,OTHNOE,-3296000.0,其他收益及費損淨額,明揚,運動休閒類
2019-06-30,8420,OperatingIncome,45251000.0,營業利益（損失）,明揚,運動休閒類
2019-06-30,8420,TotalNonoperatingIncomeAndExpense,6783000.0,營業外收入及支出,明揚,運動休閒類
2019-09-30,8420,IncomeBeforeIncomeTax,53311000.0,稅前淨利(淨損),明揚,運動休閒類
2019-09-30,8420,NetIncome,42648000.0,本期淨利(淨損),明揚,運動休閒類
2019-09-30,8420,PreTaxIncome,53311000.0,稅前淨利（淨損）,明揚,運動休閒類
2019-09-30,8420,TAX,10663000.0,所得稅費用（利益）,明揚,運動休閒類
2019-09-30,8420,IncomeFromContinuingOperations,42648000.0,繼續營業單位本期淨利（淨損）,明揚,運動休閒類
2019-09-30,8420,IncomeAfterTaxes,42648000.0,本期淨利（淨損）,明揚,運動休閒類
2019-09-30,8420,TotalConsolidatedProfitForThePeriod,42648000.0,本期綜合損益總額,明揚,運動休閒類
2019-09-30,8420,EPS,0.83,基本每股盈餘（元）,明揚,運動休閒類
2019-09-30,8420,Revenue,465355000.0,營業收入,明揚,運動休閒類
2019-09-30,8420,CostOfGoodsSold,385327000.0,營業成本,明揚,運動休閒類
2019-09-30,8420,GrossProfit,80028000.0,營業毛利（毛損）淨額,明揚,運動休閒類
2019-09-30,8420,OperatingExpenses,26624000.0,營業費用,明揚,運動休閒類
2019-09-30,8420,OTHNOE,735000.0,其他收益及費損淨額,明揚,運動休閒類
2019-09-30,8420,OperatingIncome,54139000.0,營業利益（損失）,明揚,運動休閒類
2019-09-30,8420,TotalNonoperatingIncomeAndExpense,-828000.0,營業外收入及支出,明揚,運動休閒類
2019-12-31,8420,IncomeBeforeIncomeTax,20678000.0,稅前淨利(淨損),明揚,運動休閒類
2019-12-31,8420,NetIncome,18135000.0,本期淨利(淨損),明揚,運動休閒類
2019-12-31,8420,PreTaxIncome,20678000.0,稅前淨利（淨損）,明揚,運動休閒類
2019-12-31,8420,TAX,2543000.0,所得稅費用（利益）,明揚,運動休閒類
2019-12-31,8420,IncomeFromContinuingOperations,18135000.0,繼續營業單位本期淨利（淨損）,明揚,運動休閒類
2019-12-31,8420,IncomeAfterTaxes,18135000.0,本期淨利（淨損）,明揚,運動休閒類
2019-12-31,8420,TotalConsolidatedProfitForThePeriod,18135000.0,本期綜合損益總額,明揚,運動休閒類
2019-12-31,8420,EPS,0.36,基本每股盈餘（元）,明揚,運動休閒類
2019-12-31,8420,Revenue,470856000.0,營業收入,明揚,運動休閒類
2019-12-31,8420,CostOfGoodsSold,417356000.0,營業成本,明揚,運動休閒類
2019-12-31,8420,GrossProfit,53500000.0,營業毛利（毛損）淨額,明揚,運動休閒類
2019-12-31,8420,OperatingExpenses,25422000.0,營業費用,明揚,運動休閒類
2019-12-31,8420,OTHNOE,1317000.0,其他收益及費損淨額,明揚,運動休閒類
2019-12-31,8420,OperatingIncome,29395000.0,營業利益（損失）,明揚,運動休閒類
2019-12-31,8420,TotalNonoperatingIncomeAndExpense,-8717000.0,營業外收入及支出,明揚,運動休閒類
2020-03-31,8420,PreTaxIncome,11176000.0,稅前淨利（淨損）,明揚,運動休閒類
2020-03-31,8420,TAX,2235000.0,所得稅費用（利益）,明揚,運動休閒類
2020-03-31,8420,IncomeFromContinuingOperations,8941000.0,繼續營業單位本期淨利（淨損）,明揚,運動休閒類
2020-03-31,8420,IncomeAfterTaxes,8941000.0,本期淨利（淨損）,明揚,運動休閒類
2020-03-31,8420,TotalConsolidatedProfitForThePeriod,8941000.0,本期綜合損益總額,明揚,運動休閒類
2020-03-31,8420,EPS,0.18,基本每股盈餘（元）,明揚,運動休閒類
2020-03-31,8420,Revenue,408302000.0,營業收入,明揚,運動休閒類
2020-03-31,8420,CostOfGoodsSold,375306000.0,營業成本,明揚,運動休閒類
2020-03-31,8420,GrossProfit,32996000.0,營業毛利（毛損）淨額,明揚,運動休閒類
2020-03-31,8420,OperatingExpenses,26013000.0,營業費用,明揚,運動休閒類
2020-03-31,8420,OTHNOE,2171000.0,其他收益及費損淨額,明揚,運動休閒類
2020-03-31,8420,OperatingIncome,9154000.0,營業利益（損失）,明揚,運動休閒類
2020-03-31,8420,TotalNonoperatingIncomeAndExpense,2022000.0,營業外收入及支出,明揚,運動休閒類
2020-06-30,8420,PreTaxIncome,-27620000.0,稅前淨利（淨損）,明揚,運動休閒類
2020-06-30,8420,TAX,-17037000.0,所得稅費用（利益）,明揚,運動休閒類
2020-06-30,8420,IncomeFromContinuingOperations,-10583000.0,繼續營業單位本期淨利（淨損）,明揚,運動休閒類
2020-06-30,8420,IncomeAfterTaxes,-10583000.0,本期淨利（淨損）,明揚,運動休閒類
2020-06-30,8420,TotalConsolidatedProfitForThePeriod,-10583000.0,本期綜合損益總額,明揚,運動休閒類
2020-06-30,8420,EPS,-0.21,基本每股盈餘（元）,明揚,運動休閒類
2020-06-30,8420,Revenue,238219000.0,營業收入,明揚,運動休閒類
2020-06-30,8420,CostOfGoodsSold,254398000.0,營業成本,明揚,運動休閒類
2020-06-30,8420,GrossProfit,-16179000.0,營業毛利（毛損）淨額,明揚,運動休閒類
2020-06-30,8420,OperatingExpenses,20541000.0,營業費用,明揚,運動休閒類
2020-06-30,8420,OTHNOE,360000.0,其他收益及費損淨額,明揚,運動休閒類
