date,stock_id,type,value,origin_name,stock_name,industry
2019-03-31,5820,BadDebts,3481000.0,呆帳費用、承諾及保證責任準備提存,日盛金,金融業
2019-03-31,5820,EPS,0.13,基本每股盈餘（元）,日盛金,金融業
2019-03-31,5820,EquityAttributableToOwnersOfParent,725636000.0,綜合損益總額歸屬於母公司業主,日盛金,金融業
2019-03-31,5820,IncomeAfterTax,464587000.0,本期稅後淨利（淨損）,日盛金,金融業
2019-03-31,5820,IncomeFromContinuingOperations,464587000.0,繼續營業單位本期淨利（淨損）,日盛金,金融業
2019-03-31,5820,IncomeLossFromDiscontinuedOperation,0.0,停業單位損益,日盛金,金融業
2019-03-31,5820,NetInterestIncome,794729000.0,利息淨收益,日盛金,金融業
2019-03-31,5820,NetNonInterestIncome,1128780000.0,利息以外淨收益,日盛金,金融業
2019-03-31,5820,NoncontrollingInterests,222000.0,綜合損益總額歸屬於非控制權益,日盛金,金融業
2019-03-31,5820,OperatingExpenses,1421890000.0,營業費用,日盛金,金融業
2019-03-31,5820,OtherComprehensiveIncomeAfterTaxThePeriod,261271000.0,本期其他綜合損益（稅後淨額）,日盛金,金融業
2019-03-31,5820,PreTaxIncome,498137000.0,繼續營業單位稅前損益,日盛金,金融業
2019-03-31,5820,Revenue,1923510000.0,淨收益,日盛金,金融業
2019-03-31,5820,TAX,33550000.0,所得稅（費用）利益,日盛金,金融業
2019-03-31,5820,TotalConsolidatedProfitForThePeriod,725858000.0,本期綜合損益總額,日盛金,金融業
2019-06-30,5820,BadDebts,12479000.0,呆帳費用、承諾及保證責任準備提存,日盛金,金融業
2019-06-30,5820,EPS,0.15,基本每股盈餘（元）,日盛金,金融業
2019-06-30,5820,EquityAttributableToOwnersOfParent,1361980000.0,綜合損益總額歸屬於母公司業主,日盛金,金融業
2019-06-30,5820,IncomeAfterTax,548803000.0,本期稅後淨利（淨損）,日盛金,金融業
2019-06-30,5820,IncomeFromContinuingOperations,548803000.0,繼續營業單位本期淨利（淨損）,日盛金,金融業
2019-06-30,5820,IncomeLossFromDiscontinuedOperation,0.0,停業單位損益,日盛金,金融業
2019-06-30,5820,NetInterestIncome,796056000.0,利息淨收益,日盛金,金融業
2019-06-30,5820,NetNonInterestIncome,1257550000.0,利息以外淨收益,日盛金,金融業
2019-06-30,5820,NoncontrollingInterests,1116000.0,綜合損益總額歸屬於非控制權益,日盛金,金融業
2019-06-30,5820,OperatingExpenses,1473660000.0,營業費用,日盛金,金融業
2019-06-30,5820,OtherComprehensiveIncomeAfterTaxThePeriod,814296000.0,本期其他綜合損益（稅後淨額）,日盛金,金融業
2019-06-30,5820,PreTaxIncome,567467000.0,繼續營業單位稅前損益,日盛金,金融業
2019-06-30,5820,Revenue,2053610000.0,淨收益,日盛金,金融業
2019-06-30,5820,TAX,18664000.0,所得稅（費用）利益,日盛金,金融業
2019-06-30,5820,TotalConsolidatedProfitForThePeriod,1363100000.0,本期綜合損益總額,日盛金,金融業
2019-09-30,5820,BadDebts,-72262000.0,呆帳費用、承諾及保證責任準備提存,日盛金,金融業
2019-09-30,5820,EPS,0.25,基本每股盈餘（元）,日盛金,金融業
2019-09-30,5820,EquityAttributableToOwnersOfParent,682497000.0,綜合損益總額歸屬於母公司業主,日盛金,金融業
2019-09-30,5820,IncomeAfterTax,921046000.0,本期稅後淨利（淨損）,日盛金,金融業
2019-09-30,5820,IncomeFromContinuingOperations,921046000.0,繼續營業單位本期淨利（淨損）,日盛金,金融業
2019-09-30,5820,NetInterestIncome,804419000.0,利息淨收益,日盛金,金融業
2019-09-30,5820,NetNonInterestIncome,1629840000.0,利息以外淨收益,日盛金,金融業
2019-09-30,5820,NoncontrollingInterests,123000.0,綜合損益總額歸屬於非控制權益,日盛金,金融業
2019-09-30,5820,OperatingExpenses,1552690000.0,營業費用,日盛金,金融業
2019-09-30,5820,OtherComprehensiveIncomeAfterTaxThePeriod,-238426000.0,本期其他綜合損益（稅後淨額）,日盛金,金融業
2019-09-30,5820,PreTaxIncome,953825000.0,繼續營業單位稅前損益,日盛金,金融業
2019-09-30,5820,Revenue,2434260000.0,淨收益,日盛金,金融業
2019-09-30,5820,TAX,32779000.0,所得稅（費用）利益,日盛金,金融業
2019-09-30,5820,TotalConsolidatedProfitForThePeriod,682620000.0,本期綜合損益總額,日盛金,金融業
2019-12-31,5820,BadDebts,1000.0,呆帳費用、承諾及保證責任準備提存,日盛金,金融業
2019-12-31,5820,EPS,0.09,基本每股盈餘（元）,日盛金,金融業
2019-12-31,5820,EquityAttributableToOwnersOfParent,116545000.0,綜合損益總額歸屬於母公司業主,日盛金,金融業
2019-12-31,5820,IncomeAfterTax,339902000.0,本期稅後淨利（淨損）,日盛金,金融業
2019-12-31,5820,IncomeFromContinuingOperations,339902000.0,繼續營業單位本期淨利（淨損）,日盛金,金融業
2019-12-31,5820,NetInterestIncome,814505000.0,利息淨收益,日盛金,金融業
2019-12-31,5820,NetNonInterestIncome,1206320000.0,利息以外淨收益,日盛金,金融業
2019-12-31,5820,NoncontrollingInterests,-1279000.0,綜合損益總額歸屬於非控制權益,日盛金,金融業
2019-12-31,5820,OperatingExpenses,1624370000.0,營業費用,日盛金,金融業
2019-12-31,5820,OtherComprehensiveIncomeAfterTaxThePeriod,-224636000.0,本期其他綜合損益（稅後淨額）,日盛金,金融業
2019-12-31,5820,PreTaxIncome,396453000.0,繼續營業單位稅前損益,日盛金,金融業
